RecordNum,Gender,AcademicClassYr,Ethnicity,MathPlacement,LastGPA,HSGPA,MaxHS_GPA_Scale,TestUsed,MaxMath,MaxVerbal,Calc1Number,Calc1LastGrade,Calc1LastQP,Phys1Grade,PhysicsITimes,P1_PrevGrade
347,FEMALE,2021,TwoOrMore,3107,3.06,3.88,4.3,ACT,540,580,1,B,3,B-,1,N
348,MALE,2021,Black,3111,2.54,0,0,ACT,610,560,1,C-,1.7,B,1,N
349,MALE,2021,White,3111,3.69,4,4,SAT,690,800,1,C+,2.3,A-,1,N
350,MALE,2021,White,3111,3.83,4,4,ACT,660,800,1,A,4,,0,N
351,MALE,2021,White,3111,2.69,0,0,ACT,580,710,1,D,1,B,1,N
352,MALE,2021,Asian,3107,1.23,0,0,SAT,520,480,1,W,,W,1,N
353,MALE,2021,White,3107,2.69,3.02,4,SAT,600,610,1,C,2,C,1,N
354,FEMALE,2021,Asian,3111,2.63,3.09,4,SAT,670,560,1,C-,1.7,C+,1,N
355,MALE,2021,White,3111,2.63,3.7,4,SAT,680,620,1,C+,2.3,B+,1,N
356,MALE,2021,White,3111,3.7,3.83,4,ACT,760,800,1,A-,3.7,H,1,N
357,MALE,2021,White,3111,2.67,3.6,4,ACT,650,710,1,B-,2.7,B-,1,N
358,MALE,2021,TwoOrMore,3107,3.28,3.73,4,SAT,630,590,1,B+,3.3,B,1,N
359,MALE,2021,White,3115,3.8,3.95,4,ACT,650,790,0,,,H,1,N
360,MALE,2022,White,3107,2.69,0,0,ACT,650,600,1,C,2,C+,1,N
361,MALE,2021,,3213,3.06,3.19,4,ACT,460,490,0,,,,0,N
362,MALE,2021,Hispanic,3111,3.71,4,4,SAT,750,710,1,H,4,,0,N
363,FEMALE,2021,White,3107,3.44,96.13,100,ACT,600,600,1,A-,3.7,B,1,N
364,MALE,2021,White,3111,3.29,3.7,4,SAT,650,580,1,C,2,A-,1,N
365,MALE,2021,White,3111,3.08,3.81,4,ACT,660,740,1,C-,1.7,B,1,N
366,MALE,2021,White,3111,3.83,4,4,SAT,690,620,1,A,4,A,1,N
367,MALE,2021,White,3111,3.01,0,0,ACT,650,790,1,C,2,B+,1,N
368,FEMALE,2021,White,3111,3.34,94.34,100,ACT,610,600,1,A-,3.7,A-,1,N
369,FEMALE,2021,White,3111,3.19,3.93,4,SAT,630,740,1,B-,2.7,H,1,N
370,MALE,2021,White,3111,2.81,3.47,4,SAT,630,640,1,B+,3.3,C+,1,N
371,MALE,2021,White,3111,3.37,3.47,4,SAT,690,570,1,B,3,A,1,N
372,MALE,2021,White,3111,3.52,3.91,4,ACT,630,710,1,A-,3.7,A-,1,N
373,FEMALE,2021,White,3111,3.48,3.8,4,ACT,600,630,1,B+,3.3,H,1,N
374,MALE,2021,Hispanic,3111,2.99,0,0,SAT,580,680,1,D,1,B-,1,N
375,MALE,2021,White,3111,2.96,3.7,4,SAT,670,580,1,B-,2.7,B+,1,N
376,MALE,2021,White,3115,3.59,91.38,100,SAT,720,700,0,,,H,1,N
