RecordNum,Gender,AcademicClassYr,Ethnicity,MathPlacement,LastGPA,HSGPA,MaxHS_GPA_Scale,TestUsed,MaxMath,MaxVerbal,Calc1Number,Calc1LastGrade,Calc1LastQP,Phys1Grade,PhysicsITimes,P1_PrevGrade
558,FEMALE,2021,Black,3107,2.26,0,0,SAT,560,500,1,D,1,D,2,F
559,MALE,2021,White,3115,3.66,95.1,100,ACT,790,630,0,,,A-,1,N
560,MALE,2021,Black,3107,2.62,0,0,ACT,540,600,1,C,2,D,1,N
561,MALE,2021,White,3111,3.56,4,4,ACT,700,710,1,B,3,B+,1,N
562,MALE,2021,Asian,3115,2.03,0,0,ACT,700,630,0,,,C,1,N
563,MALE,2021,White,3111,2.22,3.6,4,SAT,770,720,1,B-,2.7,B,1,N
564,MALE,2021,Hispanic,3107,#N/A,3.7,4,ACT,600,600,0,,,,0,N
565,MALE,2021,White,3111,3.21,3.23,4,SAT,570,660,1,C,2,B-,1,N
566,FEMALE,2021,White,3111,3.89,4,4,ACT,700,710,1,H,4,A,1,N
567,FEMALE,2021,White,3111,3.59,97,100,ACT,650,780,1,B,3,B-,1,N
568,FEMALE,2021,Asian,3111,3.94,3.98,4,SAT,770,720,1,H,4,,0,N
569,FEMALE,2021,Asian,3111,2.67,0,0,SAT,620,570,1,D,1,C+,1,N
570,MALE,2021,White,3111,3.38,92.9,100,ACT,740,800,1,B-,2.7,B+,1,N
571,FEMALE,2021,White,3111,2.82,3.9,4,SAT,640,630,1,C,2,B-,1,N
572,MALE,2021,International Cadet,3111,2.7,3.94,4,ACT,600,680,1,C-,1.7,B-,1,N
573,MALE,2021,White,3111,3.42,3.64,4,SAT,670,660,1,B+,3.3,A,1,N
574,MALE,2021,Hispanic,3111,2.44,86.4,100,SAT,660,590,1,C+,2.3,C+,1,N
575,MALE,2021,White,3115,3.91,4,4,SAT,700,650,0,,,A,1,N
576,MALE,2021,White,3111,3.03,3.8,4,ACT,660,600,1,A-,3.7,B+,1,N
577,MALE,2021,TwoOrMore,3115,3.78,0,0,SAT,610,510,0,,,A,1,N
578,FEMALE,2021,White,3111,3.13,3.9,4,SAT,640,720,1,C,2,B,1,N
579,MALE,2021,White,3111,3.48,0,0,SAT,600,480,1,B,3,A-,1,N
580,MALE,2021,White,3111,3.39,3.78,4,SAT,680,650,1,B,3,H,1,N
581,MALE,2021,White,3111,3.18,3.5,4,SAT,660,590,1,B,3,B-,1,N
582,MALE,2021,White,3111,3.91,4,4,SAT,770,530,1,H,4,H,1,N
583,FEMALE,2021,White,3213,3.97,98.02,100,SAT,720,800,0,,,H,1,N
584,FEMALE,2021,Hispanic,3111,2.88,3.88,4,ACT,700,780,1,A,4,H,1,N
585,MALE,2021,White,3111,3.78,3.95,4,ACT,790,800,1,A,4,H,1,N
586,FEMALE,2021,Black,3107,2.82,0,0,ACT,460,490,1,C-,1.7,F,2,F
587,MALE,2021,TwoOrMore,3111,3.72,3.93,4,SAT,750,780,1,A,4,,0,N
588,MALE,2021,White,3215,3.73,91.18,100,ACT,790,740,0,,,,0,N
589,FEMALE,2021,White,3107,3.06,0,0,ACT,500,560,1,B-,2.7,C,1,N
590,FEMALE,2021,Hispanic,3117,3.48,4.18,4.3,SAT,660,650,0,,,A,1,N
591,MALE,2021,Asian,3111,3.86,3.78,4,ACT,790,740,1,H,4,A,1,N
592,MALE,2021,Hispanic,3111,3.13,3.5,4,SAT,600,600,1,B-,2.7,B-,1,N
593,MALE,2021,Hispanic,3111,3.36,3.7,4,SAT,630,710,1,B,3,B-,1,N
594,MALE,2022,Hispanic,3111,3.62,3.71,4,SAT,740,680,1,B+,3.3,B+,1,N
595,MALE,2022,Hispanic,3107,2.85,0,0,SAT,570,570,1,C-,1.7,C-,1,N
596,MALE,2022,Decline to answer,3111,3.65,3.93,4,ACT,760,780,1,B,3,H,1,N
597,MALE,2022,White,3111,3.11,86.4,100,SAT,690,570,1,B+,3.3,B,1,N
598,MALE,2022,Asian,3115,3.52,4.21,4.3,SAT,790,730,0,,,A,1,N
599,MALE,2022,International Cadet,3111,3.36,3.49,4,ACT,540,500,1,A,4,B-,1,N
600,MALE,2022,White,3111,3.27,3.48,4,SAT,690,580,1,B,3,B+,1,N
601,FEMALE,2022,White,3107,3.67,4,4,ACT,650,600,1,H,4,A-,1,N
602,MALE,2022,White,3111,3.8,3.89,4,ACT,650,740,1,A-,3.7,,0,N
603,MALE,2022,International Cadet,3111,3.26,3.49,4,ACT,540,500,1,B+,3.3,A,1,N
604,FEMALE,2022,TwoOrMore,3111,3.47,5.86,7,SAT,680,700,1,C+,2.3,C-,1,N
605,MALE,2022,White,3111,3.87,4,4,ACT,670,780,1,A,4,H,1,N
606,MALE,2022,White,3111,3.33,3.51,4,SAT,660,650,1,B-,2.7,B+,1,N
607,MALE,2022,TwoOrMore,3111,3.3,91.5,100,SAT,650,660,1,C+,2.3,C+,1,N
608,FEMALE,2022,Black,3111,2.96,93.82,100,SAT,640,630,2,C+,2.3,B+,2,F
609,MALE,2022,White,3111,3.52,3.96,4,SAT,750,740,1,A-,3.7,B+,1,N
610,FEMALE,2022,Hispanic,3107,3.42,3.81,4,SAT,630,700,1,B+,3.3,C+,1,N
611,MALE,2022,Hispanic,3107,3.23,0,0,ACT,560,560,1,C+,2.3,C-,1,N
612,FEMALE,2022,White,3111,3.85,4,4,SAT,710,730,1,A,4,A-,1,N
613,MALE,2022,Asian,3115,3.59,4,4,SAT,700,620,0,,,B+,1,N
614,FEMALE,2022,White,3111,3.46,3.8,4,SAT,670,650,1,C,2,B+,1,N
615,MALE,2022,White,3111,3.98,3.95,4,SAT,760,750,1,A,4,A,1,N
616,MALE,2022,White,3115,3.34,3.5,4,SAT,640,640,0,,,,0,N
617,FEMALE,2022,White,3107,3.53,3.89,0,SAT,660,670,1,A-,3.7,C,1,N
618,MALE,2022,Native Hawaiian,3111,2.78,3.85,4,SAT,660,640,1,B,3,C,1,N
619,FEMALE,2022,TwoOrMore,3111,3.36,3.5,4,SAT,700,690,1,A-,3.7,B,1,N
620,FEMALE,2022,White,3111,3.51,3.99,4,SAT,670,730,1,A-,3.7,A-,1,N
621,MALE,2022,White,3111,3.56,3.91,4,SAT,710,700,1,C,2,B+,1,N
622,MALE,2022,White,3115,3.5,3.85,4,ACT,760,800,0,,,B+,1,N
623,MALE,2022,White,3111,3.75,3.9,4,SAT,670,680,1,A,4,B+,1,N
624,MALE,2022,Black,3111,3.01,0,0,SAT,570,540,1,B,3,B,1,N
625,MALE,2022,White,3111,3.97,3.99,4,SAT,740,620,1,H,4,H,1,N
626,FEMALE,2022,Hispanic,3111,3.05,3.9,4,ACT,630,660,1,C,2,C,1,N
627,MALE,2022,White,3107,3.41,3.8,4,SAT,610,660,1,B+,3.3,B+,1,N
628,FEMALE,2022,White,3111,3.45,3.8,4,SAT,590,660,1,B,3,C+,1,N
629,FEMALE,2022,White,3111,2.44,97.24,100,SAT,690,660,1,C-,1.7,C,1,N
630,FEMALE,2022,White,3111,3.9,3.99,4,SAT,700,690,1,A,4,H,1,N
631,MALE,2022,Asian,3111,3.3,3.88,4,SAT,790,730,1,A-,3.7,B-,1,N
632,FEMALE,2022,Decline to answer,3111,3.83,3.92,4,ACT,700,790,1,A,4,H,1,N
633,FEMALE,2022,White,3111,3.66,4,4,SAT,580,520,1,A-,3.7,B+,1,N
634,FEMALE,2022,White,3107,3.48,3.96,4,ACT,610,780,1,C+,2.3,B-,1,N
635,MALE,2022,White,3107,3.04,0,0,SAT,590,610,1,B,3,C-,1,N
636,MALE,2022,White,3111,3.92,3.71,4,SAT,700,700,1,A,4,H,1,N
637,MALE,2022,TwoOrMore,3111,3.17,96.21,100,SAT,720,680,1,B+,3.3,,0,N
638,FEMALE,2022,White,3111,3.82,0,0,ACT,610,630,1,H,4,,0,N
639,FEMALE,2022,White,3111,3.03,90.2,100,SAT,640,600,1,C,2,C-,1,N
640,MALE,2022,White,3115,2.81,0,0,SAT,650,670,0,,,B-,1,N
641,FEMALE,2022,White,3115,3.82,4,4,SAT,760,740,0,,,A-,1,N
642,MALE,2022,White,3107,3.01,3.24,4,SAT,640,660,1,B,3,C+,1,N
643,MALE,2022,Hispanic,3115,3.77,4,4,SAT,780,630,0,,,H,1,N
644,FEMALE,2022,White,3111,3.46,4,4,SAT,650,650,1,B+,3.3,B+,1,N
645,MALE,2022,Hispanic,3107,2.78,0,0,SAT,590,590,1,B,3,C+,1,N
646,FEMALE,2022,Asian,3117,2.76,3.45,4,SAT,720,650,0,,,D,1,N
647,MALE,2022,Decline to answer,3107,3.82,3.51,4,SAT,720,660,1,H,4,H,1,N
648,FEMALE,2022,White,3115,#N/A,3.7,4,SAT,680,640,0,,,,0,N
649,MALE,2022,White,3111,2.7,0,0,ACT,610,630,1,C+,2.3,C+,1,N
650,MALE,2022,White,3107,2.69,0,0,SAT,540,530,1,B,3,B-,1,N
651,FEMALE,2022,White,3115,3.91,4,4,ACT,700,780,0,,,H,1,N
652,MALE,2022,White,3107,3.28,93.7,100,SAT,670,590,1,B+,3.3,B-,1,N
653,FEMALE,2022,White,3111,2.79,0,0,SAT,540,580,1,D,1,C,1,N
654,MALE,2022,TwoOrMore,3111,2.82,0,0,SAT,650,590,1,C,2,D,1,N
655,MALE,2022,White,3111,3.54,0,0,SAT,590,620,1,B+,3.3,B+,1,N
656,FEMALE,2022,White,3111,3.29,4,4,SAT,660,610,1,A-,3.7,A,1,N
657,MALE,2022,White,3111,2.81,0,0,SAT,610,630,1,B,3,A,1,N
658,FEMALE,2022,Asian,3111,3.36,0,0,SAT,660,680,1,B-,2.7,B+,1,N
659,MALE,2022,Hispanic,3115,3.55,4,4,SAT,760,720,0,,,B+,1,N
660,FEMALE,2022,White,3115,3.68,3.67,4,ACT,650,660,0,,,A-,1,N
661,MALE,2022,White,3111,3.64,98.4,100,SAT,690,620,1,A,4,H,1,N
662,MALE,2022,White,3111,3.55,0,0,SAT,580,560,1,A-,3.7,B+,1,N
663,MALE,2022,White,3111,3.65,0,0,SAT,660,590,1,A,4,B+,1,N
664,FEMALE,2022,White,3107,3.78,4,4,ACT,580,740,1,A-,3.7,B,1,N
665,FEMALE,2022,White,3111,3.41,3.81,4,ACT,600,660,1,B,3,B,1,N
666,MALE,2022,White,3111,3.26,0,0,SAT,750,670,1,B+,3.3,B+,1,N
667,MALE,2022,White,3107,3.84,3.98,4,SAT,640,610,1,A-,3.7,B+,1,N
668,MALE,2022,Hispanic,3111,2.62,90.68,100,SAT,690,580,1,C,2,C,2,F
669,FEMALE,2022,Hispanic,3111,3.5,4,4,SAT,640,610,1,B,3,B-,1,N
670,FEMALE,2022,TwoOrMore,3107,3.11,3.5,4,SAT,740,690,1,B-,2.7,B,1,N
671,FEMALE,2022,White,3111,3.73,4,4,SAT,690,700,1,A,4,A-,1,N
672,MALE,2022,White,3111,3.31,3.61,4,SAT,690,610,1,A-,3.7,B-,1,N
673,MALE,2022,White,3111,3.55,3.8,4,ACT,760,800,1,A,4,A-,1,N
674,MALE,2022,White,3111,2.77,93.3,100,SAT,660,680,1,C,2,C-,1,N
675,MALE,2022,White,3115,3.52,3.6,4,SAT,770,670,0,,,,0,N
676,MALE,2022,Asian,3111,3.37,0,0,ACT,580,490,1,A-,3.7,A-,1,N
677,MALE,2022,White,3115,3.67,3.99,4,SAT,700,670,0,,,,0,N
678,FEMALE,2022,Black,3107,3.1,3.61,4,SAT,610,510,1,B,3,C+,1,N
679,FEMALE,2022,White,3111,3.86,4,4,ACT,740,790,1,A,4,H,1,N
680,MALE,2022,White,3115,3.96,4,4,SAT,780,770,0,,,A,1,N
681,FEMALE,2023,Hispanic,3107,2.89,0,0,ACT,580,490,1,B-,2.7,C+,1,N
682,FEMALE,2022,Hispanic,3107,3.05,3.92,4,SAT,610,720,1,C,2,F,2,F
683,FEMALE,2022,TwoOrMore,3111,2.96,88.98,100,SAT,760,700,1,B-,2.7,D,1,N
684,MALE,2022,Black,3111,2.88,8.7,11,ACT,740,600,1,B,3,D,1,N
685,MALE,2022,TwoOrMore,3107,1.68,0,0,SAT,630,680,1,F,0,C-,1,N
686,MALE,2022,White,3111,2.99,3.63,4,ACT,600,660,1,C,2,C-,1,N
687,MALE,2022,White,3111,2.76,3.35,4,ACT,760,800,1,B+,3.3,,0,N
688,MALE,2022,White,3111,2.78,3.42,4,SAT,620,620,1,C,2,C-,1,N
689,MALE,2022,White,3111,3.55,3.87,4,ACT,660,710,1,A,4,,0,N
690,MALE,2022,White,3111,3.18,3.55,4,SAT,650,630,1,B-,2.7,B,1,N
691,FEMALE,2022,Hispanic,3107,2.94,0,0,SAT,520,600,1,C-,1.7,B-,1,N
692,MALE,2022,International Cadet,3107,2.95,3.49,4,ACT,540,500,1,B+,3.3,C+,1,N
693,MALE,2022,White,3111,3.99,4,4,SAT,740,750,1,H,4,H,1,N
694,MALE,2022,Black,3111,3.84,3.94,4,ACT,700,780,1,A,4,H,1,N
695,MALE,2022,White,3111,3.62,3.95,4,SAT,590,710,1,B-,2.7,B+,1,N
696,MALE,2022,TwoOrMore,3111,3.06,0,0,SAT,550,510,1,C,2,B-,1,N
697,MALE,2022,Black,3111,2.86,3.81,4,SAT,650,640,2,B-,2.7,B-,1,N
698,MALE,2022,White,3111,3.19,3.53,4,SAT,670,650,1,B-,2.7,B-,1,N
699,FEMALE,2022,Native Hawaiian,3111,2.64,0,0,SAT,600,550,1,C-,1.7,D,1,N
700,MALE,2022,International Cadet,3107,1.73,3.49,4,ACT,540,500,1,D,1,W,3,F
701,FEMALE,2022,White,3111,3.33,3.97,4,SAT,610,580,1,B+,3.3,A-,1,N
702,FEMALE,2022,White,3111,3.5,3.56,4,SAT,650,580,1,B,3,B-,1,N
703,FEMALE,2022,White,3111,3.1,3.93,4,ACT,610,630,1,B,3,B+,1,N
704,FEMALE,2022,White,3111,3.87,3.9,4,SAT,760,710,1,A,4,A-,1,N
705,MALE,2022,Asian,3111,3.48,4.22,5,SAT,710,720,1,A-,3.7,A-,1,N
706,FEMALE,2022,White,3111,3.7,3.68,4,SAT,680,680,1,A-,3.7,H,1,N
707,FEMALE,2022,White,3111,3.79,4,4,SAT,690,740,1,A,4,A,1,N
708,MALE,2022,White,3111,3.42,92.9,100,SAT,660,670,1,B,3,B+,1,N
709,FEMALE,2022,White,3111,3.26,3.92,4,SAT,720,650,1,A-,3.7,A-,1,N
710,MALE,2022,Asian,3111,3.4,3.8,4,SAT,730,720,1,A-,3.7,A-,1,N
711,FEMALE,2022,TwoOrMore,3111,3.4,3.72,4,SAT,620,680,1,B-,2.7,C+,1,N
712,MALE,2022,White,3111,3.55,3.85,4,SAT,710,700,1,A-,3.7,A,1,N
713,MALE,2022,White,3111,3.34,0,0,SAT,680,610,1,A,4,A,1,N
714,MALE,2022,White,3111,3.75,3.92,4,SAT,690,710,1,B+,3.3,B+,1,N
715,MALE,2022,White,3111,3.57,3.82,4,SAT,740,650,1,A,4,A,1,N
716,MALE,2022,Asian,3111,3.39,3.81,4,SAT,730,720,1,A,4,B,1,N
717,FEMALE,2022,International Cadet,3107,3.27,3.49,4,ACT,540,500,1,B,3,B,1,N
718,MALE,2022,International Cadet,3111,3.04,3.49,4,ACT,540,500,1,B,3,C,1,N
719,MALE,2022,White,3111,3.2,93.73,100,SAT,710,630,1,A-,3.7,B,1,N
720,FEMALE,2022,Decline to answer,3111,2.71,3.37,4,SAT,630,600,1,D,1,C+,1,N
721,MALE,2022,Hispanic,3111,3.78,0,0,SAT,630,560,1,A,4,A,1,N
722,FEMALE,2022,TwoOrMore,3107,2.72,93.8,100,ACT,660,600,1,C,2,,0,N
723,FEMALE,2022,White,3111,3.25,4,4,SAT,620,690,1,C,2,C,1,N
724,MALE,2022,White,3111,3.68,3.52,4,ACT,700,740,1,A,4,H,1,N
725,MALE,2022,White,3111,3.7,3.95,4,SAT,650,580,1,A-,3.7,H,1,N
726,FEMALE,2022,Hispanic,3107,2.87,0,0,SAT,560,580,1,C-,1.7,C-,1,N
727,MALE,2022,White,3111,3.68,3.92,4,SAT,620,650,1,A-,3.7,A,1,N
728,FEMALE,2022,Black,3111,2.78,3.76,4,ACT,600,560,1,B,3,B+,1,N
729,MALE,2022,Black,3111,2.84,3.09,4,SAT,640,640,1,C,2,B+,1,N
730,FEMALE,2022,White,3111,3.83,4,4,SAT,600,610,1,B,3,B-,1,N
731,FEMALE,2022,Black,3111,2.97,3.79,4,SAT,780,690,1,C,2,B-,1,N
732,MALE,2022,White,3111,3.36,4,4,SAT,720,700,1,A,4,,0,N
733,MALE,2022,White,3111,2.96,3.47,4,SAT,630,650,1,B+,3.3,,0,N
734,FEMALE,2022,White,3111,3.61,3.91,4,SAT,740,790,1,B+,3.3,B+,1,N
735,MALE,2022,White,3115,3.54,3.8,4,SAT,760,660,0,,,,0,N
736,MALE,2022,Asian,3115,3.38,3.91,4,SAT,710,740,0,,,B,1,N
737,MALE,2022,Asian,3111,3.53,3.96,4,SAT,730,600,1,B+,3.3,B-,1,N
738,MALE,2022,Asian,3111,3.03,3.61,4,SAT,770,640,1,A,4,,0,N
739,FEMALE,2022,White,3115,3.59,3.94,4,SAT,680,650,0,,,,0,N
740,FEMALE,2022,White,3107,3.46,3.77,4,SAT,670,650,1,B+,3.3,C+,1,N
741,MALE,2022,White,3111,3.56,94.9,100,SAT,740,670,1,A,4,A,1,N
742,MALE,2022,International Cadet,3107,2.72,3.49,4,ACT,540,500,1,C-,1.7,D,1,N
743,MALE,2022,White,3111,3.64,3.87,4,ACT,680,790,1,B+,3.3,,0,N
744,MALE,2022,White,3111,2.78,3.19,4,SAT,660,610,1,C,2,C+,1,N
745,FEMALE,2022,Asian,3111,3.27,0,0,SAT,610,570,1,C+,2.3,B,1,N
746,MALE,2022,White,3111,3.55,3.95,4,SAT,700,640,1,B+,3.3,A-,1,N
747,MALE,2022,Hispanic,3111,3.36,95.2,100,SAT,630,700,1,B+,3.3,B+,1,N
748,FEMALE,2022,Hispanic,3107,2.44,0,0,SAT,540,550,1,C-,1.7,C,1,N
749,MALE,2022,White,3111,3.29,0,0,SAT,590,670,1,A-,3.7,,0,N
750,FEMALE,2022,White,3107,2.62,0,0,ACT,610,540,1,C-,1.7,C,1,N
751,FEMALE,2022,White,3115,3.94,3.9,4,ACT,760,630,0,,,A,1,N
752,MALE,2022,TwoOrMore,3115,3.03,3.74,4,SAT,790,720,0,,,,0,N
753,MALE,2022,White,3111,3.35,3.84,4,SAT,680,650,1,A-,3.7,A-,1,N
754,MALE,2022,TwoOrMore,3213,3.1,3.74,4,SAT,780,670,0,,,C,1,N
755,FEMALE,2022,Asian,3111,3.49,0,0,SAT,720,680,1,A,4,C+,1,N
756,MALE,2022,Black,3111,3.66,3.96,4,SAT,590,660,1,B+,3.3,H,1,N
757,MALE,2022,White,3111,3.71,3.77,4,ACT,650,680,1,B,3,H,1,N
758,MALE,2022,White,3115,2.6,3.83,4,SAT,670,660,0,,,B-,1,N
759,FEMALE,2022,White,3111,3.73,3.77,4,SAT,770,720,1,B+,3.3,A,1,N
760,MALE,2022,Decline to answer,3111,3.9,3.77,4,SAT,630,670,1,A,4,A,1,N
761,FEMALE,2022,White,3111,3.95,4.38,5,ACT,760,680,1,A,4,H,1,N
762,MALE,2022,White,3111,3.01,92.71,100,ACT,660,660,1,C+,2.3,C+,1,N
763,FEMALE,2022,White,3111,3.2,3.84,4,SAT,720,690,1,B-,2.7,C,1,N
764,FEMALE,2022,Asian,3111,3.85,3.9,4,SAT,720,750,1,A,4,H,1,N
765,MALE,2022,TwoOrMore,3111,3.37,92.91,100,ACT,700,780,1,A-,3.7,B,1,N
766,MALE,2022,White,3115,3.5,92.26,100,SAT,740,700,0,,,A-,1,N
767,MALE,2022,White,3111,3.64,3.95,4,ACT,680,800,1,A-,3.7,,0,N
768,MALE,2022,White,3111,3.68,3.96,4,SAT,700,620,1,B+,3.3,B+,1,N
769,FEMALE,2022,White,3213,3.6,3.85,4,SAT,730,640,0,,,B,1,N
770,FEMALE,2022,Hispanic,3107,2.79,3.7,4,ACT,630,790,1,B-,2.7,C+,1,N
771,MALE,2022,White,3115,3.95,94.35,100,SAT,790,710,0,,,,0,N
772,MALE,2022,White,3111,3.52,4,4,ACT,630,740,1,B,3,B,1,N
773,MALE,2022,Hispanic,3111,3.56,3.69,4,SAT,680,690,1,B,3,B-,1,N
774,MALE,2022,White,3111,3.75,3.75,4,SAT,740,800,1,A-,3.7,A,1,N
775,MALE,2022,Black,3111,3.16,0,0,SAT,590,610,1,B-,2.7,B,1,N
776,MALE,2022,Black,3107,2.65,0,0,SAT,680,610,1,B,3,C+,1,N
777,MALE,2022,TwoOrMore,3111,3.41,3.71,4,SAT,710,680,1,B+,3.3,B+,1,N
778,MALE,2022,Black,3107,2.9,3.2,4,ACT,580,600,1,B-,2.7,C+,1,N
779,FEMALE,2022,Hispanic,3107,3.41,0,0,SAT,580,560,1,B,3,B,1,N
780,MALE,2022,Asian,3111,3.49,3.64,4,SAT,730,680,1,B-,2.7,B-,1,N
781,FEMALE,2022,TwoOrMore,3111,3.86,4,4,SAT,780,730,1,A,4,A-,1,N
782,FEMALE,2022,White,3115,3.73,4,4,ACT,670,800,0,,,A-,1,N
783,MALE,2022,White,3111,3.93,3.98,4,SAT,750,750,1,H,4,A,1,N
784,FEMALE,2022,White,3107,3.13,0,0,SAT,570,510,1,C-,1.7,B,1,N
785,FEMALE,2022,White,3111,3.74,0,0,SAT,690,710,1,B+,3.3,A,1,N
786,MALE,2022,White,3111,3.49,3.84,4,ACT,660,660,1,A,4,A-,1,N
787,MALE,2022,Hispanic,3111,3.7,4,4,SAT,710,670,1,A,4,B+,1,N
788,MALE,2022,International Cadet,3107,2.65,3.49,4,ACT,540,500,1,D,1,D,1,N
789,MALE,2022,White,3111,2.28,0,0,SAT,680,620,2,B-,2.7,C-,1,N
790,MALE,2022,White,3111,3.77,3.98,4,SAT,740,630,1,A,4,B+,1,N
791,MALE,2022,White,3111,3.86,91.64,100,ACT,650,710,1,A,4,A,1,N
792,MALE,2022,Asian,3111,3.27,97.57,100,SAT,740,640,1,B,3,B-,1,N
793,FEMALE,2022,Hispanic,3107,2.78,92.62,100,SAT,630,610,1,C-,1.7,C+,2,F
794,FEMALE,2022,Hispanic,3111,3.34,4,4,SAT,690,660,1,B,3,C,1,N
795,FEMALE,2022,White,3111,3.53,3.82,4,SAT,690,670,1,B,3,B-,1,N
796,FEMALE,2022,Asian,3107,3.26,0,0,SAT,560,530,1,B+,3.3,B,1,N
797,FEMALE,2022,Hispanic,3115,3.54,4,4,SAT,730,640,0,,,A,1,N
798,MALE,2022,Hispanic,3111,3.05,0,0,ACT,600,600,1,B,3,C+,1,N
799,MALE,2022,International Cadet,3111,1.39,3.49,4,ACT,540,500,1,D,1,D,1,N
800,MALE,2022,White,3111,3.49,3.28,4,ACT,660,790,1,A,4,A-,1,N
801,FEMALE,2022,White,3111,3.51,3.9,4,SAT,620,570,1,B,3,B+,1,N
802,MALE,2022,Hispanic,3111,2.71,0,0,SAT,590,540,1,C-,1.7,C,1,N
803,FEMALE,2022,White,3111,3.36,95.8,100,SAT,710,610,1,B,3,B,1,N
804,FEMALE,2022,White,3111,3.68,4,4,ACT,680,790,1,B+,3.3,A,1,N
805,MALE,2022,White,3111,3.6,0,0,SAT,690,640,1,A,4,A-,1,N
806,FEMALE,2022,White,3111,3.62,3.98,4,SAT,660,710,1,A,4,B+,1,N
807,FEMALE,2022,TwoOrMore,3111,3.43,3.56,4,SAT,640,620,1,B,3,C+,1,N
808,MALE,2022,TwoOrMore,3115,2.66,3.83,4,SAT,690,660,0,,,C+,1,N
809,FEMALE,2022,Hispanic,3111,3.48,95,100,SAT,670,670,1,B,3,B,1,N
810,FEMALE,2022,White,3111,3,91.8,100,SAT,640,620,1,C+,2.3,C+,1,N
811,FEMALE,2022,White,3107,2.48,3.65,4,SAT,620,730,1,C-,1.7,C,1,N
812,MALE,2022,Hispanic,3111,3.17,0,0,ACT,610,580,1,D,1,C,1,N
813,MALE,2022,International Cadet,3111,2.64,3.49,4,ACT,540,500,1,B-,2.7,B-,1,N
814,MALE,2022,White,3111,3.62,3.62,4,SAT,680,640,1,A,4,A,1,N
815,FEMALE,2022,White,3111,3.21,3.87,4,SAT,650,610,1,B-,2.7,B,1,N
816,FEMALE,2022,White,3111,3.36,3.81,4,SAT,680,650,1,B+,3.3,B,1,N
817,FEMALE,2022,White,3111,3.85,3.99,4,SAT,630,650,1,A,4,A-,1,N
818,MALE,2022,White,3111,3.24,3.57,4,SAT,640,630,1,B,3,B+,1,N
819,MALE,2022,White,3111,3.18,3.15,4.3,SAT,700,650,1,B,3,B,1,N
820,MALE,2022,White,3115,3.96,90.23,100,ACT,650,800,0,,,A,1,N
821,MALE,2022,White,3111,3.11,0,0,ACT,610,600,1,C+,2.3,A-,1,N
822,FEMALE,2022,White,3111,4,3.78,4,SAT,700,670,1,W,,,0,N
823,MALE,2022,White,3115,3.74,3.97,4,ACT,790,800,0,,,H,1,N
824,MALE,2022,White,3111,3.13,93.72,100,SAT,630,630,1,B+,3.3,B-,1,N
825,FEMALE,2022,TwoOrMore,3111,3.53,3.96,4,SAT,760,700,1,B,3,C+,1,N
826,MALE,2022,Asian,3111,2.48,3.61,4,SAT,690,660,1,B-,2.7,C,1,N
827,FEMALE,2022,White,3107,2.5,0,0,SAT,530,550,1,W,,W,1,N
828,MALE,2022,White,3115,3.52,4,4,SAT,800,700,0,,,A-,1,N
829,FEMALE,2022,White,3111,3.86,3.96,4,SAT,710,660,1,A,4,H,1,N
830,FEMALE,2022,White,3111,3.75,4,4,SAT,740,680,1,A,4,B+,1,N
831,FEMALE,2023,White,3111,3.16,4,4,SAT,800,770,1,A-,3.7,,0,N
832,FEMALE,2022,TwoOrMore,3107,3.36,3.88,4,SAT,560,530,1,B+,3.3,B+,1,N
833,MALE,2022,Decline to answer,3111,2.91,90.83,100,SAT,670,690,1,B,3,C,1,N
834,MALE,2022,White,3111,2.87,85.78,100,SAT,600,570,2,C+,2.3,C,1,N
835,FEMALE,2022,Black,3115,3.67,4,4,SAT,760,680,0,,,,0,N
836,MALE,2022,White,3111,3.64,3.9,4,SAT,780,590,1,H,4,H,1,N
837,MALE,2022,White,3111,3.74,4,4,ACT,660,790,1,B-,2.7,A,1,N
838,MALE,2022,Asian,3111,3.69,3.46,4,ACT,680,660,1,A-,3.7,A-,1,N
839,FEMALE,2022,White,3111,3.47,3.94,4,ACT,650,800,1,A,4,B+,1,N
840,MALE,2022,White,3111,3.79,3.6,4,SAT,750,720,1,A,4,A-,1,N
841,MALE,2022,Asian,3115,3.59,3.89,4,ACT,650,630,0,,,A-,1,N
842,FEMALE,2022,White,3107,3.33,0,0,ACT,600,600,1,B-,2.7,B,1,N
843,FEMALE,2022,White,3111,3.26,3.58,4,ACT,630,800,1,A-,3.7,B,1,N
844,FEMALE,2022,Hispanic,3111,3.74,3.94,4,SAT,760,640,1,A,4,A,1,N
845,MALE,2022,International Cadet,3107,3.17,3.49,4,ACT,540,500,1,B+,3.3,C+,1,N
846,MALE,2022,White,3115,3.86,3.79,4,ACT,740,800,0,,,,0,N
847,FEMALE,2022,Asian,3111,3.65,3.83,4,ACT,610,660,1,C,2,B+,1,N
848,FEMALE,2022,White,3111,3.63,3.55,4,ACT,630,740,1,A-,3.7,B+,1,N
849,FEMALE,2022,White,3107,3.86,0,0,SAT,600,610,1,A,4,B,1,N
850,MALE,2022,White,3111,3.99,97.47,100,SAT,680,710,1,A,4,H,1,N
851,FEMALE,2022,TwoOrMore,3111,2.73,0,0,SAT,670,660,1,C+,2.3,C+,1,N
852,MALE,2022,White,3107,3.67,3.84,4,SAT,620,680,1,B,3,A-,1,N
