RecordNum,Phys1Grade,PhysicsITimes,P1_PrevGrade
1585,C+,1,N
1586,A,1,N
1587,F,1,N
1588,C-,1,N
1589,A,1,N
1590,H,1,N
1591,B+,1,N
1592,B+,1,N
1593,A,1,N
1594,A-,1,N
1595,H,1,N
1596,B-,1,N
1597,A,1,N
1598,A-,1,N
1599,B,1,N
1600,C+,1,N
1601,A,1,N
1602,B+,1,N
1603,B+,1,N
1604,A,1,N
1605,C+,1,N
1606,B+,1,N
1607,H,1,N
1608,,0,N
1609,A-,1,N
1610,A,1,N
1611,B+,1,N
1612,C+,1,N
1613,B,1,N
1614,B-,1,N
1615,C+,1,N
1616,C+,1,N
1617,B,1,N
1618,H,1,N
1619,A,1,N
1620,C+,1,N
1621,B,1,N
1622,,0,N
1623,C,1,N
1624,C,1,N
1625,A-,1,N
1626,B+,1,N
1627,B-,1,N
1628,B+,1,N
1629,B+,1,N
1630,B+,1,N
1631,H,1,N
1632,B+,1,N
1633,B,1,N
1634,B+,1,N
1635,D,1,N
1636,,0,N
1637,C-,1,N
1638,C+,1,N
1639,A,1,N
1640,B,1,N
1641,B,1,N
1642,,0,N
1643,A,1,N
1644,B-,1,N
1645,W,1,N
1646,B,1,N
1647,B,1,N
1648,C-,1,N
1649,B-,1,N
1650,,0,N
1651,F,1,N
1652,B,1,N
1653,A-,1,N
1654,H,1,N
1655,C+,1,N
1656,C,1,N
1657,B+,1,N
1658,H,1,N
1659,C,1,N
1660,A-,1,N
1661,C,1,N
1662,B-,1,N
1663,B+,1,N
1664,A,1,N
1665,H,1,N
1666,C+,1,N
1667,H,1,N
1668,C,1,N
1669,C-,1,N
1670,A-,1,N
1671,,0,N
1672,C-,1,N
1673,B-,1,N
1674,A-,1,N
1675,A,1,N
1676,,0,N
1677,B+,1,N
1678,C+,1,N
1679,H,1,N
1680,A-,1,N
1681,C,1,N
1682,A-,1,N
1683,B+,1,N
1684,C,1,N
102,F,1,N
163,F,1,N
250,F,1,N
255,F,1,N
327,F,1,N
414,F,1,N
480,F,1,N
558,F,1,N
586,F,1,N
608,F,1,N
668,F,1,N
682,F,1,N
700,F,1,N
700,F,2,F
793,F,1,N
978,F,1,N
1106,F,1,N
1457,F,1,N
