RecordNum,Gender,AcademicClassYr,Ethnicity,MathPlacement,LastGPA,HSGPA,MaxHS_GPA_Scale,TestUsed,MaxMath,MaxVerbal,Calc1Number,Calc1LastGrade,Calc1LastQP,PhysicsITimes
1594,Male,2025,Hispanic,3111,3.09,89.56,100,SAT,710,610,1,B,3,1
1595,Male,2025,White,3111,3,3.76,4,SAT,760,590,1,A,4,1
1596,MALE,2025,White,3107,3.2,95.7,100,SAT,580,650,1,A-,3.7,1
1597,Male,2025,NativeAmerican,3111,3.68,3.94,4,ACT,630,630,1,B,3,1
1598,MALE,2025,White,3111,3.54,0,0,ACT,660,710,1,B+,3.3,1
1599,Female,2025,Decline to answer,3111,3.12,3.84,4,SAT,630,670,1,B-,2.7,1
1600,MALE,2025,White,3107,2.83,91.76,100,SAT,610,670,1,D,1,1
1601,MALE,2025,White,3111,3.19,3.5,4,ACT,650,600,1,B+,3.3,1
1602,Female,2025,TwoOrMore,3115,2.7,3.94,4,ACT,610,580,0,,,1
1603,Female,2025,White,3111,3.37,3.96,4,ACT,650,680,1,B,3,1
1604,Male,2025,White,3213,3.9,3.96,4,SAT,750,720,0,,,1
1605,MALE,2025,Hispanic,3107,2.64,3.66,4,ACT,610,790,1,B,3,1
1606,FEMALE,2025,White,3111,3.46,96,100,ACT,650,540,1,B,3,1
1607,Female,2025,White,3115,3.4,3.9,4,SAT,660,640,0,,,1
1608,Male,2025,White,3111,3.75,3.88,4,SAT,730,720,1,A-,3.7,0
1609,Male,2025,White,3111,3.51,4.19,4.2,SAT,670,670,1,B+,3.3,1
1610,Male,2025,TwoOrMore,3115,3.63,4.03,4.5,SAT,720,650,0,,,1
1611,Male,2025,Hispanic,3111,3.6,3.9,4,SAT,700,760,1,B+,3.3,1
1612,Male,2025,White,3111,2.91,100,100,SAT,670,650,1,D,1,1
1613,Male,2025,TwoOrMore,3117,2.73,0,0,SAT,590,560,0,,,1
1614,Male,2025,White,3111,3.04,3.47,4,SAT,670,740,1,B-,2.7,1
1615,Male,2025,TwoOrMore,3115,2.7,3.61,4,ACT,660,740,0,,,1
1616,Female,2025,White,3107,2.12,0,0,SAT,580,630,1,C-,1.7,1
1617,Female,2025,White,3107,3.11,3.84,4,SAT,560,700,1,B,3,1
1618,Male,2025,White,3111,3.84,4,4,SAT,780,690,1,A,4,1
1619,Male,2025,TwoOrMore,3115,3.54,4,4,SAT,690,670,0,,,1
1620,Male,2025,Hispanic,3107,2.96,3.71,4,SAT,540,550,1,C+,2.3,1
1621,MALE,2025,TwoOrMore,3111,3.16,3.87,4,SAT,770,660,1,A-,3.7,1
1622,Female,2025,White,3107,3,3.51,4,SAT,650,650,0,,,0
1623,Female,2025,White,3111,2.87,0,0,SAT,620,590,1,C+,2.3,1
1624,Male,2025,White,3107,3.13,3.87,4,SAT,660,640,1,B,3,1
1625,Male,2025,White,3115,3.77,3.9,4,ACT,740,740,0,,,1
1626,Male,2025,White,3111,3.51,3.91,4,SAT,620,680,1,A-,3.7,1
1627,MALE,2025,Hispanic,3107,2.71,3.79,4,SAT,650,650,1,B+,3.3,1
1628,Male,2025,White,3111,3.16,3.38,4,SAT,650,610,1,B,3,1
1629,Female,2025,White,3115,3.45,4,0,ACT,600,680,0,,,1
1630,Female,2025,TwoOrMore,3111,3.5,3.94,4,SAT,620,610,1,B+,3.3,1
1631,Male,2025,White,3111,3.6,3.98,4,SAT,770,600,1,A,4,1
1632,Female,2025,TwoOrMore,3111,2.14,0,0,ACT,600,600,1,D,1,1
1633,Male,2025,Hispanic,3111,3.03,0,0,ACT,610,580,1,B,3,1
1634,Male,2025,White,3111,3.13,88.23,100,SAT,630,690,1,C+,2.3,1
1635,Male,2025,Black,3107,2.07,0,0,SAT,580,670,1,D,1,1
1636,Male,2025,White,3211,3.63,88.87,100,ACT,790,710,0,,,0
1637,Female,2025,White,3107,2.46,0,0,ACT,580,800,1,C-,1.7,1
1638,Male,2025,White,3111,2.27,3.77,4,SAT,720,790,1,D,1,1
1639,Female,2025,Decline to answer,3115,3.51,3.94,4,SAT,640,540,0,,,1
1640,FEMALE,2025,White,3107,2.99,94.28,100,SAT,660,750,1,B,3,1
1641,Male,2025,TwoOrMore,3111,2.36,3.66,4,SAT,700,690,1,C,2,1
1642,FEMALE,2025,International Cadet,3107,3.01,4,4,ACT,460,600,1,C-,1.7,0
1643,Male,2025,White,3111,3.92,4,4,ACT,760,800,1,A,4,1
1644,Female,2025,White,3107,2.69,89.82,100,SAT,620,610,1,C+,2.3,1
1645,Female,2025,Hispanic,3107,1.29,3.65,4,SAT,600,660,1,W,,1
1646,MALE,2025,Black,3107,2.83,0,0,ACT,520,500,1,C,2,1
1647,Female,2025,White,3111,3.03,4,4,SAT,630,630,1,B,3,1
1648,Male,2025,White,3111,2.32,3.84,4,SAT,640,670,1,D,1,1
1649,Male,2025,TwoOrMore,3107,2.6,0,0,SAT,630,710,1,C-,1.7,1
1650,Female,2025,White,3115,3.91,4,4,SAT,800,770,0,,,0
1651,Male,2025,White,3111,2.37,0,0,SAT,640,650,1,D,1,1
1652,Male,2025,White,3111,2.94,3.92,4,ACT,630,680,1,C,2,1
1653,Male,2025,White,3111,3.75,4,4,ACT,760,790,1,A-,3.7,1
1654,MALE,2025,Asian,3111,3.59,4,4,SAT,760,710,1,B,3,1
1655,Male,2025,White,3111,2.62,0,0,SAT,600,600,1,D,1,1
1656,Female,2025,White,3107,2.67,3.97,4,ACT,580,560,1,C-,1.7,1
1657,FEMALE,2025,White,3111,3.27,4.31,4.5,SAT,680,600,1,B,3,1
1658,Female,2025,White,3111,3.39,3.8,4,SAT,650,730,1,B+,3.3,1
1659,Male,2025,White,3111,2.48,0,0,SAT,540,520,2,B-,2.7,1
1660,Female,2025,White,3111,3.04,3.89,4,SAT,650,650,1,A-,3.7,1
1661,Male,2025,White,3107,2.81,91.73,100,SAT,690,640,1,B-,2.7,1
1662,Female,2025,White,3111,3.24,3.95,4,SAT,600,650,1,B,3,1
1663,Female,2025,White,3111,3.08,3.86,4,ACT,650,800,1,C,2,1
1664,Male,2025,TwoOrMore,3111,3.54,3.62,4,SAT,710,700,1,A-,3.7,1
1665,Female,2025,White,3111,3.87,3.98,4,SAT,690,630,1,A-,3.7,1
1666,Male,2025,White,3107,3.03,90.53,100,SAT,600,670,1,B-,2.7,1
1667,FEMALE,2025,International Cadet,3111,3.84,4,4,ACT,460,600,1,H,4,1
1668,Male,2025,White,3107,2.57,3.98,4,SAT,660,630,1,B,3,1
1669,FEMALE,2025,Black,3107,1.47,0,0,SAT,520,580,1,D,1,1
1670,Female,2025,White,3111,3.59,4,4,ACT,700,780,1,B,3,1
1671,Female,2025,White,3115,3.88,3.98,4,SAT,780,730,0,,,0
1672,Female,2025,White,3107,2.75,3.77,4,SAT,630,670,1,C+,2.3,1
1673,Male,2025,White,3111,2.8,3.91,4,SAT,660,700,1,C,2,1
1674,Male,2025,White,3111,3.31,3.86,4,ACT,660,740,1,A-,3.7,1
1675,Female,2025,White,3111,3.3,4,4,ACT,660,740,1,B+,3.3,1
1676,Male,2025,White,3111,3.88,4,4,SAT,790,610,1,A,4,0
1677,Female,2025,TwoOrMore,3107,3.69,3.92,4,ACT,610,660,1,A,4,1
1678,Female,2025,White,3107,2.71,3.97,4,SAT,630,660,1,B-,2.7,1
1679,Male,2025,White,3111,3.89,3.99,4,ACT,740,600,1,A,4,1
1680,Male,2025,White,3111,3.25,3.97,4,SAT,710,560,1,B,3,1
1681,MALE,2025,International Cadet,3111,2.2,4,4,ACT,460,600,1,C,2,1
1682,Male,2025,Asian,3111,3.5,96.14,100,SAT,700,790,1,B+,3.3,1
1683,Male,2025,Asian,3115,3.37,3.51,4,SAT,770,680,0,,,1
1684,Female,2025,TwoOrMore,3107,3.03,3.95,4,SAT,670,720,1,B-,2.7,1
