RecordNum,Gender,AcademicClassYr,Ethnicity,MathPlacement,LastGPA,HSGPA,MaxHS_GPA_Scale,TestUsed,MaxMath,MaxVerbal,Calc1Number,Calc1LastGrade,Calc1LastQP,PhysicsITimes
1356,MALE,2024,Hispanic,3115,3.34,3.85,4,SAT,740,770,0,,,1
1357,MALE,2024,White,3111,3.83,4,4,SAT,640,600,1,A,4,1
1358,FEMALE,2024,Hispanic,3115,2.99,4,4,SAT,700,680,0,,,1
1359,MALE,2024,White,3111,3.77,3.54,4,SAT,690,690,1,A,4,1
1360,MALE,2024,TwoOrMore,3115,3.16,4,4,SAT,680,770,0,,,1
1361,FEMALE,2024,White,3111,3,3.9,4,SAT,720,690,1,B,3,1
1362,MALE,2024,TwoOrMore,3111,3.74,3.89,4,ACT,630,660,1,A-,3.7,1
1363,MALE,2024,White,3111,3.45,4,4,SAT,630,650,1,A-,3.7,1
1364,FEMALE,2024,International Cadet,3115,3.65,88.25,100,SAT,390,420,0,,,0
1365,MALE,2024,White,3107,3.85,97.24,100,SAT,710,650,1,H,4,1
1366,MALE,2024,White,3111,2.12,3.4,4,ACT,680,680,1,C+,2.3,1
1367,MALE,2024,Hispanic,3111,3.68,3.85,4,ACT,610,740,1,B-,2.7,1
1368,FEMALE,2024,Hispanic,3111,3.3,0,0,SAT,590,580,1,A-,3.7,1
1369,MALE,2024,TwoOrMore,3111,3.09,3.65,4,SAT,700,620,1,A-,3.7,1
1370,MALE,2024,White,3111,2.67,0,0,SAT,620,640,1,C,2,1
1371,MALE,2024,Hispanic,3107,3.28,3.82,4,SAT,640,740,1,C+,2.3,1
1372,MALE,2024,Asian,3115,2.34,3.55,4,SAT,800,730,0,,,1
1373,MALE,2024,Hispanic,3107,2.8,0,0,SAT,610,580,1,B+,3.3,1
1374,MALE,2024,White,3213,3.38,3.9,4,SAT,750,720,0,,,1
1375,MALE,2024,White,3111,3.76,92.8,100,SAT,620,620,1,A-,3.7,1
1376,FEMALE,2024,White,3107,1.97,3.43,4,ACT,580,630,1,D,1,1
1377,MALE,2024,White,3111,3.16,3.87,4,SAT,680,560,1,B-,2.7,1
1378,MALE,2024,White,3115,3.79,4,4,SAT,790,800,0,,,1
1379,MALE,2024,White,3115,3.37,3.89,4,ACT,650,560,0,,,1
1380,MALE,2024,White,3115,3.92,3.75,4,ACT,790,740,0,,,1
1381,FEMALE,2024,White,3111,3.79,3.94,4,ACT,630,790,1,A-,3.7,1
1382,MALE,2024,TwoOrMore,3107,3.04,0,0,SAT,680,710,1,B,3,1
1383,MALE,2024,Hispanic,3111,2.4,3.73,4,SAT,620,580,1,C,2,1
1384,FEMALE,2024,TwoOrMore,3111,3.98,4,4,SAT,720,750,1,H,4,1
1385,FEMALE,2024,Asian,3213,3.23,0,0,ACT,610,600,0,,,1
1386,FEMALE,2024,White,3111,2.39,0,0,SAT,570,640,1,C,2,1
1387,MALE,2024,White,3107,3.51,4,4,ACT,610,800,1,B,3,1
1388,FEMALE,2024,Black,3111,2.66,0,0,ACT,630,630,1,C-,1.7,0
1389,MALE,2024,TwoOrMore,3211,3.97,4,4,SAT,780,700,0,,,0
1390,MALE,2024,TwoOrMore,3115,3.92,4,4,SAT,800,690,0,,,0
1391,FEMALE,2024,White,3111,3.6,3.9,4,SAT,680,670,1,B,3,1
1392,MALE,2024,White,3111,3.06,0,0,SAT,620,550,1,B+,3.3,1
1393,MALE,2024,White,3115,3.75,3.91,4,SAT,790,750,0,,,0
1394,FEMALE,2024,White,3115,3.04,3.66,4,SAT,770,630,0,,,1
1395,FEMALE,2024,TwoOrMore,3107,2.25,0,0,SAT,550,440,1,D,1,1
1396,MALE,2024,White,3111,3.58,3.72,4,SAT,740,700,1,B,3,1
1397,MALE,2024,White,3111,3.79,3.95,4,ACT,790,800,1,A,4,1
1398,MALE,2024,Asian,3115,3.46,3.81,4,ACT,700,740,0,,,1
1399,MALE,2024,White,3115,2.88,0,0,ACT,760,740,0,,,1
1400,FEMALE,2024,Hispanic,3107,3.25,3.55,4,ACT,760,680,1,B+,3.3,1
1401,Male,2025,White,3111,3.12,3.96,4,SAT,690,650,1,A,4,1
1402,Female,2025,Black,3111,3.26,0,0,SAT,630,690,1,B,3,1
1403,Female,2025,TwoOrMore,3107,2.5,0,0,SAT,630,580,1,C-,1.7,1
1404,Male,2025,White,3115,3.95,3.98,4,SAT,740,710,0,,,0
1405,MALE,2025,White,3111,3.09,3.71,4,ACT,700,580,1,A-,3.7,1
1406,MALE,2025,White,3111,3.22,3.96,4,SAT,730,620,1,B-,2.7,1
1407,Female,2025,White,3111,3.36,93.24,100,SAT,680,660,1,B-,2.7,1
1408,Male,2025,White,3111,2.44,0,0,SAT,600,630,1,C-,1.7,1
1409,Male,2025,Black,3111,2.82,0,0,SAT,600,650,1,B+,3.3,1
1410,Male,2025,Hispanic,3111,2.14,4.02,4.1,SAT,650,650,1,D,1,1
1411,Male,2025,NativeAmerican,3107,2.96,3.9,4,ACT,580,580,1,B,3,1
1412,Male,2025,White,3111,2.87,3.82,4,ACT,700,740,1,B+,3.3,1
1413,Male,2025,White,3111,3.98,98.21,100,SAT,750,710,1,H,4,1
1414,Male,2025,White,3111,3.16,93.92,100,SAT,650,580,1,B,3,1
1415,Female,2025,White,3107,3.68,0,0,SAT,510,620,1,A,4,1
